site_code,site_name,year,yearly_TDD,yearly_FDD,annual_mean_air_temp,mean_ALT,annual_mean_snow_depth_in,annual_mean_snow_depth_cm,annual_total_precip_in,annual_total_precip_cm,annual_total_snowfall_in,annual_total_snowfall_cm
U1,Barrow,1995,381.11,-4419.94,-11.07,34.46,4.8,12.192,2.75,6.985,24,60.96
U1,Barrow,1996,379.44,-4305.56,-10.73,35.6,5.4,13.716,3.48,8.8392,35.7,90.678
U1,Barrow,1997,437.22,-4375.28,-10.79,36.82,5.6,14.224,5.14,13.0556,42.5,107.95
U1,Barrow,1998,607.5,-3628.89,-8.28,41.02,7.8,19.812,4.7,11.938,33.7,85.598
U1,Barrow,1999,468.06,-4822.22,-11.93,37.04,5.3,13.462,3.68,9.3472,37.5,95.25
U1,Barrow,2000,360,-4658.89,-11.75,33.99,5.8,14.732,5.82,14.7828,47.3,120.142
U1,Barrow,2001,274.72,-4624.44,-11.92,30.37,5.8,14.732,4.63,11.7602,47.1,119.634
U1,Barrow,2002,331.94,-4023.06,-10.11,30.64,5.3,13.462,4.75,12.065,41.8,106.172
U1,Barrow,2003,293.89,-4135.83,-10.53,28.61,5.5,13.97,5.8,14.732,60.2,152.908
U1,Barrow,2004,542.78,-4456.94,-10.69,42.45,5.2,13.208,6.01,15.2654,34.8,88.392
U1,Barrow,2005,386.67,-4109.44,-10.2,33.27,5,12.7,4.86,12.3444,41.9,106.426
U1,Barrow,2006,390.56,-4153.06,-10.31,32.39,7.8,19.812,4.17,10.5918,48.6,123.444
U1,Barrow,2007,594.44,-3963.06,-9.23,31.87,6.2,15.748,2.35,5.969,47.4,120.396
U1,Barrow,2008,365.28,-4154.72,-10.35,34.27,8.8,22.352,4.82,12.2428,65.4,166.116
U1,Barrow,2009,497.5,-4226.94,-10.22,34.33,7.8,19.812,6.17,15.6718,59.9,152.146
U1,Barrow,2010,500.83,-4071.11,-9.78,41.19,6.7,17.018,5.47,13.8938,67.9,172.466
U1,Barrow,2011,501.94,-4121.39,-9.92,41.43,5.3,13.462,6.59,16.7386,77.1,195.834
U1,Barrow,2012,578.33,-4417.22,-10.49,37.71,6.2,15.748,6.27,15.9258,60.8,154.432
U1,Barrow,2013,508.89,-4032.78,-9.65,40.51,3.7,9.398,8.41,21.3614,62.2,157.988
U1,Barrow,2014,276.94,-3720.28,-9.43,35.63,3.8,9.652,7.41,18.8214,51.3,130.302
U1,Barrow,2015,435.83,-4041.11,-9.88,39.79,3.2,8.128,5.73,14.5542,38.3,97.282
U1,Barrow,2016,510,-3164.72,-7.25,40.11,3.2,8.128,5.44,13.8176,37,93.98
U1,Barrow,2017,513.06,-3251.67,-7.5,38.87,3.6,9.144,8.43,21.4122,47,119.38
U1,Barrow,2018,378.06,-3422.5,-8.34,38.25,5.7,14.478,6.56,16.6624,38.4,97.536
U1,Barrow,2019,717.78,-2962.78,-6.15,47.32,4.3,10.922,10.11,25.6794,27.2,69.088
U1,Barrow,2020,427.5,-3943.06,-9.61,45.25,0,0,6.16,15.6464,0,0
U1,Barrow,2021,421.94,-4050.28,-9.94,31.14,NA,NA,7.73,19.6342,NA,NA
U1,Barrow,2022,466.11,-3715,-8.9,32.11,NA,NA,6.72,17.0688,NA,NA
U1,Barrow,2023,685,-3570.56,-7.91,43.59,NA,NA,8.39,21.3106,NA,NA
